model_id,name,division,profile_url,height_cm,hair_color,eye_color,images,thumbnail
10066,Eleena Mills,mai,https://apmmodels.com/w/models/mai/mai-10066-eleena-mills,165,red,hazel,"['images/eleena_mills/thumbnail.jpg', 'images/eleena_mills/portfolio1.jpg', 'images/eleena_mills/portfolio2.jpg', 'images/eleena_mills/portfolio3.jpg', 'images/eleena_mills/portfolio4.jpg', 'images/eleena_mills/portfolio5.jpg', 'images/eleena_mills/portfolio6.jpg', 'images/eleena_mills/portfolio7.jpg', 'images/eleena_mills/portfolio8.jpg', 'images/eleena_mills/portfolio9.jpg', 'images/eleena_mills/portfolio10.jpg', 'images/eleena_mills/portfolio11.jpg', 'images/eleena_mills/portfolio12.jpg', 'images/eleena_mills/portfolio13.jpg']",https://4598c52ed51e1bdda56a-2819a18ed12907756f28db1336cb386a.ssl.cf3.rackcdn.com/392_9809e29d-8819-4e11-a2c2-51af949d8073.jpg
9947,Andrea Kostovick,mai,https://apmmodels.com/w/models/mai/mai-9947-andrea-kostovick,175,light brown,blue-grey,"['images/andrea_kostovick/thumbnail.jpg', 'images/andrea_kostovick/portfolio1.jpg', 'images/andrea_kostovick/portfolio2.jpg', 'images/andrea_kostovick/portfolio3.jpg', 'images/andrea_kostovick/portfolio4.jpg', 'images/andrea_kostovick/portfolio5.jpg', 'images/andrea_kostovick/portfolio6.jpg', 'images/andrea_kostovick/portfolio7.jpg', 'images/andrea_kostovick/portfolio8.jpg', 'images/andrea_kostovick/portfolio9.jpg', 'images/andrea_kostovick/portfolio10.jpg', 'images/andrea_kostovick/portfolio11.jpg', 'images/andrea_kostovick/portfolio12.jpg', 'images/andrea_kostovick/portfolio13.jpg', 'images/andrea_kostovick/portfolio14.jpg']",https://4598c52ed51e1bdda56a-2819a18ed12907756f28db1336cb386a.ssl.cf3.rackcdn.com/b96c2467-fbf1-4b23-8ae5-b273940e8fed_Standard.jpg
10721,JULIA MILLER,dev,https://apmmodels.com/w/models/dev/dev-10721-julia-miller,180,dark blonde,blue,"['images/julia_miller/thumbnail.jpg', 'images/julia_miller/portfolio1.jpg', 'images/julia_miller/portfolio2.jpg', 'images/julia_miller/portfolio3.jpg', 'images/julia_miller/portfolio4.jpg', 'images/julia_miller/portfolio5.jpg', 'images/julia_miller/portfolio6.jpg', 'images/julia_miller/portfolio7.jpg', 'images/julia_miller/portfolio8.jpg', 'images/julia_miller/portfolio9.jpg', 'images/julia_miller/portfolio10.jpg', 'images/julia_miller/portfolio11.jpg', 'images/julia_miller/portfolio12.jpg', 'images/julia_miller/portfolio13.jpg', 'images/julia_miller/portfolio14.jpg']",https://4598c52ed51e1bdda56a-2819a18ed12907756f28db1336cb386a.ssl.cf3.rackcdn.com/b127132c-8d63-47d3-9687-d792cf348150__2270bfbe-3612-442f-b2df-ea8b2f7ae30b.jpg
10515,Janna  Moni,mai,https://apmmodels.com/w/models/mai/mai-10515-janna-moni,173,dark brown,brown,"['images/janna_moni/thumbnail.jpg', 'images/janna_moni/portfolio1.jpg', 'images/janna_moni/portfolio2.jpg', 'images/janna_moni/portfolio3.jpg', 'images/janna_moni/portfolio4.jpg', 'images/janna_moni/portfolio5.jpg', 'images/janna_moni/portfolio6.jpg', 'images/janna_moni/portfolio7.jpg', 'images/janna_moni/portfolio8.jpg', 'images/janna_moni/portfolio9.jpg', 'images/janna_moni/portfolio10.jpg', 'images/janna_moni/portfolio11.jpg', 'images/janna_moni/portfolio12.jpg', 'images/janna_moni/portfolio13.jpg', 'images/janna_moni/portfolio14.jpg']",https://4598c52ed51e1bdda56a-2819a18ed12907756f28db1336cb386a.ssl.cf3.rackcdn.com/8ee4016c-3044-464b-8723-a2e0a1e5a02c__05066b02-e4aa-4865-8ff8-25d1049b4117.jpg
9964,Ivana Trivic,ima,https://apmmodels.com/w/models/ima/ima-9964-ivana-trivic,177,brown,brown,"['images/ivana_trivic/thumbnail.jpg', 'images/ivana_trivic/portfolio1.jpg', 'images/ivana_trivic/portfolio2.jpg', 'images/ivana_trivic/portfolio3.jpg', 'images/ivana_trivic/portfolio4.jpg', 'images/ivana_trivic/portfolio5.jpg', 'images/ivana_trivic/portfolio6.jpg', 'images/ivana_trivic/portfolio7.jpg', 'images/ivana_trivic/portfolio8.jpg', 'images/ivana_trivic/portfolio9.jpg', 'images/ivana_trivic/portfolio10.jpg', 'images/ivana_trivic/portfolio11.jpg', 'images/ivana_trivic/portfolio12.jpg', 'images/ivana_trivic/portfolio13.jpg', 'images/ivana_trivic/portfolio14.jpg']",https://4598c52ed51e1bdda56a-2819a18ed12907756f28db1336cb386a.ssl.cf3.rackcdn.com/9963c31c-d197-436c-8135-3fbb1ae4d0ad_Standard.jpg
10231,Eve Harper,mai,https://apmmodels.com/w/models/mai/mai-10231-eve-harper,173,red,green,"['images/eve_harper/thumbnail.jpg', 'images/eve_harper/portfolio1.jpg', 'images/eve_harper/portfolio2.jpg', 'images/eve_harper/portfolio3.jpg', 'images/eve_harper/portfolio4.jpg', 'images/eve_harper/portfolio5.jpg', 'images/eve_harper/portfolio6.jpg', 'images/eve_harper/portfolio7.jpg', 'images/eve_harper/portfolio8.jpg', 'images/eve_harper/portfolio9.jpg', 'images/eve_harper/portfolio10.jpg', 'images/eve_harper/portfolio11.jpg', 'images/eve_harper/portfolio12.jpg', 'images/eve_harper/portfolio13.jpg', 'images/eve_harper/portfolio14.jpg']",https://4598c52ed51e1bdda56a-2819a18ed12907756f28db1336cb386a.ssl.cf3.rackcdn.com/d1704c36-6ce7-438b-b918-c19c3af6e7a7__696db675-149a-4019-9e16-58ac6810289e.jpg
9991,Dina Kozlovska,mai,https://apmmodels.com/w/models/mai/mai-9991-dina-kozlovska,178,brown,blue,"['images/dina_kozlovska/thumbnail.jpg', 'images/dina_kozlovska/portfolio1.jpg', 'images/dina_kozlovska/portfolio2.jpg', 'images/dina_kozlovska/portfolio3.jpg', 'images/dina_kozlovska/portfolio4.jpg', 'images/dina_kozlovska/portfolio5.jpg', 'images/dina_kozlovska/portfolio6.jpg', 'images/dina_kozlovska/portfolio7.jpg', 'images/dina_kozlovska/portfolio8.jpg', 'images/dina_kozlovska/portfolio9.jpg', 'images/dina_kozlovska/portfolio10.jpg', 'images/dina_kozlovska/portfolio11.jpg', 'images/dina_kozlovska/portfolio12.jpg', 'images/dina_kozlovska/portfolio13.jpg', 'images/dina_kozlovska/portfolio14.jpg']",https://4598c52ed51e1bdda56a-2819a18ed12907756f28db1336cb386a.ssl.cf3.rackcdn.com/317_778d9814-788b-4c4e-b1ed-3f0ac886c034.jpg
10163,Clemence Bernard,dev,https://apmmodels.com/w/models/dev/dev-10163-clemence-bernard,178,light brown,grey-green,"['images/clemence_bernard/thumbnail.jpg', 'images/clemence_bernard/portfolio1.jpg', 'images/clemence_bernard/portfolio2.jpg', 'images/clemence_bernard/portfolio3.jpg', 'images/clemence_bernard/portfolio4.jpg', 'images/clemence_bernard/portfolio5.jpg', 'images/clemence_bernard/portfolio6.jpg', 'images/clemence_bernard/portfolio7.jpg', 'images/clemence_bernard/portfolio8.jpg', 'images/clemence_bernard/portfolio9.jpg', 'images/clemence_bernard/portfolio10.jpg', 'images/clemence_bernard/portfolio11.jpg', 'images/clemence_bernard/portfolio12.jpg', 'images/clemence_bernard/portfolio13.jpg']",https://4598c52ed51e1bdda56a-2819a18ed12907756f28db1336cb386a.ssl.cf3.rackcdn.com/df02e9cb-4cee-4f46-83cc-0b19fecaf324_Standard.jpg
10146,Lexi Levy,dev,https://apmmodels.com/w/models/dev/dev-10146-lexi-levy,173,brown,hazel,"['images/lexi_levy/thumbnail.jpg', 'images/lexi_levy/portfolio1.jpg', 'images/lexi_levy/portfolio2.jpg', 'images/lexi_levy/portfolio3.jpg', 'images/lexi_levy/portfolio4.jpg', 'images/lexi_levy/portfolio5.jpg', 'images/lexi_levy/portfolio6.jpg', 'images/lexi_levy/portfolio7.jpg', 'images/lexi_levy/portfolio8.jpg', 'images/lexi_levy/portfolio9.jpg', 'images/lexi_levy/portfolio10.jpg', 'images/lexi_levy/portfolio11.jpg', 'images/lexi_levy/portfolio12.jpg', 'images/lexi_levy/portfolio13.jpg', 'images/lexi_levy/portfolio14.jpg']",https://4598c52ed51e1bdda56a-2819a18ed12907756f28db1336cb386a.ssl.cf3.rackcdn.com/472_67586e70-87ec-48e4-bbba-12c2dfdcb2c2.jpg
10461,Ingryd Marins,ima,https://apmmodels.com/w/models/ima/ima-10461-ingryd-marins,178,brown,brown,"['images/ingryd_marins/thumbnail.jpg', 'images/ingryd_marins/portfolio1.jpg', 'images/ingryd_marins/portfolio2.jpg', 'images/ingryd_marins/portfolio3.jpg', 'images/ingryd_marins/portfolio4.jpg', 'images/ingryd_marins/portfolio5.jpg', 'images/ingryd_marins/portfolio6.jpg', 'images/ingryd_marins/portfolio7.jpg', 'images/ingryd_marins/portfolio8.jpg', 'images/ingryd_marins/portfolio9.jpg', 'images/ingryd_marins/portfolio10.jpg', 'images/ingryd_marins/portfolio11.jpg', 'images/ingryd_marins/portfolio12.jpg', 'images/ingryd_marins/portfolio13.jpg', 'images/ingryd_marins/portfolio14.jpg']",https://4598c52ed51e1bdda56a-2819a18ed12907756f28db1336cb386a.ssl.cf3.rackcdn.com/2df1cb31-712e-4956-b46c-46dccb94e303_Standard.jpg
