event_id,timestamp,model_id,client_id,filters_used,selected
E0000001,2024-04-24T00:00:00,10066,C001,luxury campaign + SS25 brief,1
E0000002,2024-04-23T00:00:00,10066,C001,luxury campaign + SS25 brief,1
E0000003,2025-02-21T00:00:00,10066,C030,fragrance + high cheekbones,1
E0000004,2025-02-22T00:00:00,10066,C030,luxury campaign + SS25 brief,1
E0000005,2024-12-28T00:00:00,10066,C021,brown hair + green eyes + lookbook,1
E0000006,2024-09-10T00:00:00,10066,C036,blonde + blue eyes + size 0–4,1
E0000007,2024-10-14T00:00:00,10066,C036,beauty campaign + porcelain skin,1
E0000008,2024-10-13T00:00:00,10066,C036,beauty campaign + porcelain skin,1
E0000009,2024-10-03T00:00:00,10066,C017,beauty campaign + porcelain skin,1
E0000010,2024-10-04T00:00:00,10066,C017,luxury campaign + SS25 brief,1
E0000011,2025-04-28T00:00:00,10066,C030,luxury campaign + SS25 brief,1
E0000012,2025-05-17T00:00:00,10066,C030,fragrance + high cheekbones,1
E0000013,2024-09-07T00:00:00,10066,C010,luxury campaign + SS25 brief,1
E0000014,2024-09-05T00:00:00,10066,C010,fragrance + high cheekbones,1
E0000015,2024-10-25T00:00:00,10066,C030,beauty campaign + porcelain skin,1
E0000016,2024-11-05T00:00:00,10066,C020,editorial + runway height 175–182,1
E0000017,2024-09-25T00:00:00,9947,C027,fragrance + high cheekbones,1
E0000018,2024-09-26T00:00:00,9947,C027,blonde + blue eyes + size 0–4,1
E0000019,2025-03-18T00:00:00,9947,C016,luxury campaign + SS25 brief,1
E0000020,2024-11-15T00:00:00,9947,C015,blonde + blue eyes + size 0–4,1
E0000021,2025-09-26T00:00:00,9947,C015,beauty campaign + porcelain skin,1
E0000022,2024-05-30T00:00:00,9947,C018,luxury campaign + SS25 brief,1
E0000023,2025-04-05T00:00:00,9947,C016,brown hair + green eyes + lookbook,1
E0000024,2025-02-13T00:00:00,9947,C011,luxury campaign + SS25 brief,1
E0000025,2025-02-12T00:00:00,9947,C011,blonde + blue eyes + size 0–4,1
E0000026,2025-05-09T00:00:00,9947,C017,brown hair + green eyes + lookbook,1
E0000027,2025-05-09T00:00:00,9947,C017,fragrance + high cheekbones,1
E0000028,2025-02-17T00:00:00,9947,C013,beauty campaign + porcelain skin,1
E0000029,2025-07-15T00:00:00,10721,C020,beauty campaign + porcelain skin,1
E0000030,2025-07-13T00:00:00,10721,C020,blonde + blue eyes + size 0–4,1
E0000031,2025-03-10T00:00:00,10721,C012,beauty campaign + porcelain skin,1
E0000032,2025-03-11T00:00:00,10721,C012,luxury campaign + SS25 brief,1
E0000033,2025-08-10T00:00:00,10721,C033,fragrance + high cheekbones,1
E0000034,2025-03-23T00:00:00,10721,C033,brown hair + green eyes + lookbook,1
E0000035,2025-03-14T00:00:00,10721,C008,beauty campaign + porcelain skin,1
E0000036,2025-01-15T00:00:00,10721,C020,fragrance + high cheekbones,1
E0000037,2025-01-16T00:00:00,10721,C020,beauty campaign + porcelain skin,1
E0000038,2025-04-13T00:00:00,10721,C025,blonde + blue eyes + size 0–4,1
E0000039,2025-04-13T00:00:00,10721,C025,editorial + runway height 175–182,1
E0000040,2025-02-22T00:00:00,10721,C007,brown hair + green eyes + lookbook,1
E0000041,2025-02-22T00:00:00,10721,C007,fragrance + high cheekbones,1
E0000042,2025-04-14T00:00:00,10721,C008,editorial + runway height 175–182,1
E0000043,2025-04-14T00:00:00,10721,C008,beauty campaign + porcelain skin,1
E0000044,2024-12-14T00:00:00,10721,C021,brown hair + green eyes + lookbook,1
E0000045,2024-12-13T00:00:00,10721,C021,beauty campaign + porcelain skin,1
E0000046,2025-04-13T00:00:00,10721,C029,editorial + runway height 175–182,1
E0000047,2025-04-11T00:00:00,10721,C029,luxury campaign + SS25 brief,1
E0000048,2024-05-01T00:00:00,10721,C018,editorial + runway height 175–182,1
E0000049,2024-10-16T00:00:00,10721,C020,luxury campaign + SS25 brief,1
E0000050,2024-12-18T00:00:00,10721,C008,fragrance + high cheekbones,1
E0000051,2024-12-18T00:00:00,10721,C008,brown hair + green eyes + lookbook,1
E0000052,2025-06-12T00:00:00,10721,C020,luxury campaign + SS25 brief,1
E0000053,2025-04-25T00:00:00,10721,C037,fragrance + high cheekbones,1
E0000054,2025-04-25T00:00:00,10721,C037,fragrance + high cheekbones,1
E0000055,2025-03-08T00:00:00,10515,C035,beauty campaign + porcelain skin,1
E0000056,2025-03-08T00:00:00,10515,C035,editorial + runway height 175–182,1
E0000057,2024-10-21T00:00:00,10515,C009,brown hair + green eyes + lookbook,1
E0000058,2025-10-06T00:00:00,10515,C015,fragrance + high cheekbones,1
